No Document,title,Description,Mati,Sakit,Keparahan
40,2 Pasien Suspect Difteri Dirawat di Ruang Isolasi RSUD Boyolali,"\- Dua pasien dirawat khusus di ruang isolasi RSUD Pandan Arang, Boyolali,
Jateng. Penanganan ini dilakukan karena kedua pasien tersebut diduga mengidap
penyakit difteri.  
  
Kasubag Hukum, Humas dan Sistem Informasi Manajemen RSUD Pandan Arang, Yuni
Etty Armawati, mengatakan kedua pasien tersebut merupakan rujukan dari dokter
umum di Kecamatan Ampel, Kedua pasien tersebut perempuan berumur 14 tahun dan
17 tahun.  
  
""Dua orang pasien dari dokter di Ampel dirujuk kesini (RSUD Pandan Arang)
Minggu (13/5/2018) lalu,"" kata Yuni Etty kepada wartawan di ruang kerjanya
Jumat (18/5/2018).  
  

Dikemukakan dia, kedua pasien tersebut saat ini ditempatkan di ruang isolasi
rumah sakit sembari menunggu hasil pemeriksaan medis lebih lanjut. Termasuk
hasil pemeriksaan laboratorium.  
  
Kasi Pelayanan Penunjang Medik RSUD Pandan Arang, Yuni Astuti, menjelaskan
berdasarkan pemeriksaan dahak pasien, keduanya negatif difteri. Namun
demikian, masih dilakukan pemeriksaaan lanjutan dengan kultur jaringan.  
  
""Kami masih lakukan pemeriksaan secara kultur jaringan. Jika nanti bakteri
berkembang biak, maka mereka berarti difteri. Tapi dari hasil pemeriksaan
dahak, negatif,"" terang dia.  
  
Kedua pasien tersebut sebelumnya memeriksakan diri ke Poliklinik di Ampel.
Sherly Jeanne Kilapong, dokter yang juga pemilik poliklinik tersebut
mengatakan, kedua pasien itu mengeluhkan ganggungan pada tenggorokan dan
mengalami demam.  
  
""Dari pemeriksaan gejala yang derita pasien, penyakit mengarah kepada difteri.
Lalu saya rujuk ke RSUPA (rumah sakit umum Pandan Arang),"" kata Sherly kepada
wartawan.  
  
Dijelaskan dia, gejala penyakit difteri antara lain panas dan sulit menelan.
Penyakit itu adalah salah satu penyakit yang dapat dicegah dengan imunisasi
sejak bayi. Penyakit ini bisa menyebabkan kematian dan sangat menular kepada
mereka yang belum diberikan imunisasi atau imunisasinya tidak lengkap.  
  
Dengan adanya temuan pasien tersebut, Shely yang juga menjabat Kepala Bidang
Pencegahan dan Pengendalian Penyakit di Dinas Kesehatan Boyolali ini
mengatakan, berencana melakukan Outbreak Respons Immunization (ORI) ke
lingkungan tempat tinggal kedua pasien.  
  
""Kami rencana melakukan ORI,"" ujarnya.

 ",0,2,rendah
41,"Kebumen Tertinggi, Ini 19 Daerah Penyebaran Leptospirosis di Jateng","\- Meskipun dilaporkan beberapa orang menjadi korban meninggal, namun penyakit
leptospirosis di Boyolali bukan yang tertinggi di Jawa Tengah. Data kasus di
tahun 2017 temuan paling tinggi terjadi di Kebumen. Berikut ini 19
kabupaten/kota di Jateng yang memiliki kasus penyakit akibat kencing tikus
tersebut.  
  
""Sebetulnya kasus leptospirosis di Jateng tidak hanya ada di Boyolali saja.
Ada kurang lebih 19 Kabupaten/Kota (ada kasus leptospirosis),"" kata Kepala
Bidang Pencegahan dan Pemberantasan Penyakit (P2P) Dinas Kesehatan (Dinkes)
Jateng, Tatik Murhayati, kepada para wartawan usai Rakor penanggulangan
penyakit leptospirosis di kantor Dinas Kesehatan (Dinkes) Boyolali, Kamis
(1/3/2018).  
  
Dijelaskannya, penyebaran kasus leptospirosis di Jateng yakni terjadi di
Jepara, Pati, Blora, Demak, Kota Semarang, Cilacap, Banyumas, Purbalingga dan
Kebumen. Selain itu juga terjadi di Purworejo, Kabupaten Magelang, Boyolali,
Klaten, Kota Surakarta, Sukoharjo, Wonogiri, Karanganyar, Sragen dan Kota
Pekalongan.  
  

""Di tahun 2017, di wilayah Jawa Tengah terjadi 409 kasus dengan jumlah korban
meninggal 65 orang,"" jelasnya.  
  
Berdasarkan data kasus yang terjadi tahun 2017, paling tinggi terjadi di
Kebumen. Disana tahun lalu terjadi 87 kasus. 10 orang diantaranya meninggal
dunia.  
  
Meskipun Boyolali bukan yang tertinggi, menurut Tatik, kasus leptospirosis di
daerah tersebut tergolong tinggi. Di Jateng, kasus penyakit akibat bakteri
leptospira tersebut Boyolali menempati urutan 7.  
  
Kasus penyakit leptospirosis di Boyolali dalam dua bulan terakhir, Januari-
Februari 2018, telah terjadi 8 kasus, 4 diantaranya meninggal dunia. Sedangkan
di tahun 2017, terjadi 34 kasus, 9 korban diantaranya meninggal dunia.  
  
Meningkatnya kasus leptospirosis di Boyolali tahun ini mendapat perhatian dari
Kementerian Kesehatan. Tim dari Kemenkes turun langsung ke Boyolali. Rakor
penanggulangan penyakit leptospirosis digelar di kantor Dinkes Boyolali, Kamis
siang tadi.  
  
Rakor itu antara lain diikuti dari tim Kemenkes, Dinkes Boyolali, Dinkes
Provinsi Jateng, Dinas Peternakan dan Perikanan (Disnakan) Boyolali, B2P2VRP
Salatiga, BBTKLPP Yogyakarta serta Disnakkeswan Provinsi Jateng.

 ",3,1,rendah
42,Kakek Penderita Stroke di Pasuruan Tewas di Atas Kasur yang Terbakar,"\-

Malang menimpa Jachja (72), seorang pria yang menempati rumah di Jalan KH
Achmad Dahlan Gang 17, Kelurahan Pohjentrek, Purworejo, Kota Pasuruan. Kakek
penderita stroke ini tewas di atas kasur yang terbakar.

""Korban selama ini tinggal sendiri di rumah itu,"" kata Kapolsek Purworejo AKP
Endy Purwanto, Kamis (2/6/2022).

Menurut Endy, peristiwa bermula pada Senin (1/6) malam ketika korban duduk di
atas kasur. Saat korban tengah makan bakso, tiba-tiba kasur yang diduduki
terbakar.

Warga yang melihat kejadian itu bergegas memadamkan api menggunakan air.
Ketika api diyakini sudah padam, warga membersihkan kamar korban dengan dipel
lalu meninggalkan korban di dalam kamar.

Namun, pada pukul 04.45 WIB Kamis (2/6), warga kembali melihat asap keluar
dari jendela depan rumah korban. Warga yang panik mendobrak pintu kamar korban
dan mendapati korban terbaring di atas kasur yang mengeluarkan banyak asap.

Tubuh korban langsung diangkat dan dipindahkan diruang tamu. Kasur yang penuh
bara api juga dibawa keluar rumah.

""Saat dipindahkan ke ruang tamu, korban masih bernafas. Selang beberapa saat
kemudian korban sudah tidak bernafas,"" jelas Endy.

""Berdasarkan olah TKP, tidak ditemukan tanda-tanda kekerasan. Penyebab korban
meninggal diduga akibat terbakar di atas kasur yang terbakar karena korban
memiliki sakit stroke,"" terbangnya.

Pihak keluarga korban, lanjut Endy, menerima kejadian itu sebagai musibah dan
menolak visum.

""Korban memiliki kebiasaan merokok di atas kasur dan menyalakan obat nyamuk
bakar di sebelah kasur sebelum tidur,"" pungkas Endy.

  
  
  
[Gambas:Video 20detik]  

 ",1,1,rendah
43,Kasus DBD di Bojonegoro Tertinggi se-Jatim,"\-

Jumlah kasus Demam Berdarah Dengue (DBD) di Bojonegoro tertinggi di Jawa
Timur. Data Dinas Kesehatan Jatim mulai 1 hingga 24 Januari 2022, mencatat ada
112 pasien DBD di Bojonegoro dan dua pasien meninggal dunia.

Sementara itu, total kasus DBD di Jatim ada 977 kasus. Lalu sebanyak 17 pasien
meninggal dunia.

Setelah Bojonegoro, disusul dengan kasus DBD di Nganjuk 72 orang, Malang 66
orang, hingga Ponorogo dan Sidoarjo masing-masing 53 orang.

Sedangkan dari 17 pasien DBD yang meninggal, rinciannya yakni tiga pasien dari
Pamekasan, Bojonegoro dua orang, Nganjuk dua orang, Bangkalan satu orang dan
Kediri satu orang.

Kepala Dinkes Jatim dr. Erwin Astha mengajak masyarakat tidak mengabaikan
bahaya DBD. Meski kini masyarakat dan pemerintah fokus pada COVID-19 varian
Omicron, namun upaya preventif, promotif jauh lebih efektif untuk penanganan
DBD.

Erwin menambahkan upaya 3M penting dilakukan. 3M yakni menguras atau
membersihkan bak mandi hingga vas bunga, lalu menutup rapat tempat penampungan
air dan menyingkirkan atau mendaur ulang barang bekas seperti ban bekas, botol
plastik hingga kaleng bekas.

""Dalam hal ini 3M dikunci untuk mencegah jangan sampai kasusnya membludak atau
meningkat,"" ujarnya, Rabu (26/1/2022).

Erwin menyebut edukasi menjadi pilihan terbaik. Karena DBD tidak lepas dari
faktor utamanya yakni nyamuk. Sehingga ke depan, edukasi ke masyarakat terkait
3M akan dimasifkan.

""Karena bagaimanapun demam berdarah tidak lepas dari faktor utamanya nyamuk.
Sehingga ke depan, edukasi ke masyarakat terkait 3M menjadi kunci terbaik,""
tambahnya.

  
  
  
[Gambas:Video 20detik]  

 ",2,1,rendah
44,"Corona Kendari Tembus 988 hingga 4 Sekolah Jadi Klaster, PTM Dihentikan","\-

Dinas Pendidikan, Kepemudaan dan Olahraga (Dikmudora) Kota Kendari, Sulawesi
Tenggara (Sultra) mengeluarkan kebijakan menutup pembelajaran tatap muka (PTM)
di TK, SD, dan SMP selama 6 hari ke depan. Hal ini buntut dari kasus Corona
yang tembus 988 kasus aktif dan 4 sekolah menjadi klaster COVID.

""Langkah ini kami ambil antisipasi dari SK Wali Kota (PPKM Level 3) untuk
menutup sekolah jenjang TK, SD, dan SMP. Beberapa sekolah lainnya juga kemarin
sudah minta ditutup, karena ada siswa mereka yang menurut mereka gejalanya
terpapar COVID-19,"" kata Kepala Dikmudora Kota Kendari, Makmur kepada , Senin
(21/2/2022).

Kebijakan penutupan sekolah tertuang dalam Surat Edaran (SE) Kepala Dikmudora
Kota Kendari No. 800/590/2022 tentang Pembelajaran Jarak Jauh Jenjang PAUD,
SD, dan SMP Tahun Pelajaran 2021/2022.

  

""Secara umum sekolah di Kendari tutup dan kita alihkan ke pembelajaran daring.
Tidak menutup kemungkinan jika masih ada kasus (positif siswa) kita akan
tambah 1 minggu lagi,"" tambahnya.

Sesuai SE Kepala Dikmudora, pihaknya menghimbau kepada pihak sekolah untuk
tetap melakukan PTM dengan protokol kesehatan pencegahan COVID-19 bagi kelas 6
SD dan 9 SMP. Sebab, saat ini kelas tersebut tengah melakukan persiapan ujian
sekolah.

""Untuk kelas 6 SD dan 9 SMP kebijakan dari sekolah, tapi kami imbau agar tetap
dilakukan PTM karena mereka harus melakukan pengayaan persiapan ujian
sekolah,"" ujarnya.

Lebih lanjut, Makmur mengungkapkan pihaknya telah berkoordinasi dengan
stakeholder terkait guna melakukan pencegahan penyebaran COVID-19 dengan
mengambil sample swab antigen masing-masing sekolah.

""Kami sudah berkoordinasi dengan Dinkes Kendari untuk mengambil sample swab
antigen di masing-masing sekolah TK, SD, dan SMP,"" paparnya.

Ia mengimbau agar masyarakat dan orang tua murid untuk terus meningkatkan
program vaksinasi bagi anak usia dini sebagai upaya dini pencegahan penularan
COVID-19.

Sebelumnya sejumlah sekolah di Kota Kendari sudah lebih dulu ditutup karena
ada siswa yang terkonfirmasi positif. Klaster sekolah tersebut di antaranya
SDN 84, SDN 88, SDN 92, dan SDN 56. Klaster sekolah.

Merujuk data per Jumat (18/2) malam, Dinas Kesehatan (Dinkes) Kota Kendari
mencatat setidaknya 936 kasus aktif terkonfirmasi positif. Per Sabtu (19/2),
ada tambahan 51 kasus baru sehingga total kasus naik menjadi 987 kasus.

Sementara data terakhir pada Minggu (20/2), Dinkes mendapati tambahan 1 kasus
aktif dengan total 988 kasus aktif. Merujuk data Dinkes Kendari kasus
terkonfirmasi positif mencapai 1.197 dengan total sembuh 208 kasus dan 1
meninggal.

  
  
  
[Gambas:Video 20detik]  

 ",1,988,parah
45,"Naik Lagi, COVID-19 Makassar Tambah 66 Jadi 237 Kasus","\-

Kasus COVID-19 di Makassar, Sulawesi Selatan (Sulsel) bertambah 66 kasus hari
ini, turun sedikit dari pertambahan 67 kasus di hari sebelumnya. Meski kasus
harian turun, warga Makassar tetap diminta waspada.

""COVID-19 di Makassar 66 kasus sekarang dari kemarin 67 kasus, jadi turun 1
kasus (tambahan kasus harian) tetapi tetap waspada,"" kata Kadinkes Makassar
Nursaidah Sirajuddin, Sabtu (5/2/2022).

Selain pertambahan 66 kasus pada hari ini, Satgas COVID-19 juga melaporkan 11
orang dinyatakan sembuh. Alhasil total kasus aktif di Makassar mencapai 237
orang.

Khusus untuk 66 kasus harian hari ini, 65 orang menjalani isolasi mandiri di
rumah serta satu orang lainnya dirawat di rumah sakit. Pasien COVID-19 yang
dirawat itu mengalami gejala ringan.

""Tapi gejalanya ringan mereka rata-rata orang tanpa gejala (OTG),"" kata
Nursaidah.

Dengan demikian, jumlah kumulatif kasus Corona di Makassar mencapai 48.938
kasus yang mana 47.701 di antaranya dinyatakan sembuh dengan 1.011 di
antaranya meninggal dunia.

Sementara itu, Wali Kota Makassar Moh Ramdhan 'Danny' Pomanto telah meminta
agar dilakukan tracing mendalam.

""Karena kita sudah aktifkan detektor kita, posko RT/RW kita juga saya minta
diaktifkan dengan recover center di Kelurahan,"" kata Danny.

Danny kemudian mengingatkan agar petugas kesehatan memonitor seluruh pasien
COVID-19 yang melakukan isolasi mandiri.

""Di rumahnya sekarang itu jumlah lumayan banyak juga, makanya kami minta
dipastikan kondisinya dengan menjamin kesehatan dan obatnya,"" ucap Danny.

 ",1011,1,parah
46,"Anjing Liar Meresahkan, Gigit 4 Orang-Dikhawatirkan Rabies","\-

Keberadaan seekor anjing liar sempat meresahkan warga Karangasem, terutama
para pedagang dan pengunjung Pasar Amlapura Timur, Karangasem. Sebanyak empat
orang warga Karangasem menjadi korban gigitan anjing liar di pasar tersebut.

Akibat kejadian tersebut, Kepala Pasar Amlapura Timur, Ida Bagus Gede Ananta
Pratama langsung melapor ke Dinas Pemadam Kebakaran dan Penyelamatan
(Damkartan) Karangasem untuk membantu melakukan evakuasi terhadap anjing
tersebut.

""Anjing ini cukup meresahkan pedagang dan juga pengunjung pasar, apalagi sudah
ada empat orang yang digigit, jadi saya langsung lapor agar secepatnya dapat
dievakuasi supaya tidak ada korban berikutnya,"" kata Ananta Pratama, Kamis
(5/5/2022).

  

Setidaknya ada empat orang warga yang digigit anjing tersebut. Sebagian besar
diantaranya hanya mengalami luka ringan pada bagian kakinya. Tapi hal tersebut
tetap menjadi perhatian dari dinas terkait karena kasus gigitan anjing tidak
bisa dianggap remeh meski hanya mengalami luka lecet.

Sementara itu, Kepala Damkartan Karangasem I Nyoman Siki Ngurah mengatakan
sebelum petugas Damkar melakukan evakuasi terhadap anjing tersebut, pihaknya
terlebih dahulu melakukan koordinasi dengan Dinas Pertanian dan Peternakan
Karangasem agar menurunkan petugasnya untuk membantu melakukan evakuasi karena
mereka yang lebih berwenang dan alatnya juga lebih lengkap.

""Dari hasil pengamatan, sebelum dievakuasi ada indikasi bahwa anjing tersebut
sepertinya rabies, sehingga petugas langsung melakukan tindakan untuk
dipadamkan dan diambil sampelnya untuk kemudian diuji lab untuk memastikan
apakah anjing tersebut benar rabies atau tidak,"" kata Siki Ngurah.

Saat anjing tersebut berhasil dievakuasi, ternyata anjing tersebut memiliki
tujuh ekor anak dan saat ini sudah dibawa oleh petugas Damkar untuk dirawat.

Sedangkan Kepala Bidang Pengendalian dan Penanggulangan Bencana, Dinas
Pertanian, Pangan dan Perikanan Kabupaten Karangasem, Putu Gede Suwata Brata
mengatakan bahwa begitu pihaknya menerima laporan bahwa ada empat orang yang
digigit anjing di pasar Amlapura Timur pihaknya langsung mengerahkan petugas
untuk mengevakuasi anjing tersebut dan mengambil sampel untuk selanjutnya akan
dilakukan uji lab.

""Untuk kasus gigitan anjing tersebut kita masih belum berani memastikan apakah
rabies atau tidak, karena hasil uji labnya belum keluar, tapi kita mengimbau
masyarakat agar lebih berhati-hati lagi dan jika mengalami gigitan anjing agar
segera melakukan pemeriksaan,"" kata Suwata Brata.

  
  
  
[Gambas:Video 20detik]  

 ",0,1,rendah
47,"Sempat Dikira Corona, Wanita Kejang-kejang di PN Jaktim Ternyata Ayan","\-

Seorang perempuan pengunjung sidang Pengadilan Negeri Jakarta Timur (PN
Jaktim) kejang-kejang mendadak. Seorang pengunjung sidang memvideokannya dan
viral. Ternyata pengunjung itu mengidap epilepsi.

Video itu ramai dibahas di berbagai media sosial. Si perempuan yang duduk di
ruang tunggu tiba-tiba duduk terjuntai. Ia kemudian kejang-kejang.

Seorang perempuan petugas PN Jaktim langsung mendekat. Tapi ada teriakan dari
pengunjung sidang lainnya, ""Pakai masker!""

Sontak penggalan video itu menyebar dan viral. Selidik punya selidik, penyakit
ayan wanita itu kambuh.

""Kejadian yang jadi viral di PN Jakarta Timur itu terjadi sekitar pukul 12.30
WIB,"" kata juru bicara MA, hakim agung Andi Samsan Nganro, saat berbincang
dengan, Kamis (2/4/2020).

Wanita itu adalah pihak pencari keadilan yang mau menggunakan upaya hukum,
yaitu menyatakan banding atas perkaranya.

""Tetapi menurut penjelasan Ketua PN Jakarta Timur kepada saya bahwa ibu itu
ternyata mengidap penyakit epilepsi. Yang bersangkutan ketika masuk di ruang
PTSP di PN Jakarta Timur sempat diukur suhunya yaitu 35 (derajat Celsius),""
pungkas Andi.

 ",0,0,rendah
48,"8 Pegawai Kena Corona, Kantor Kemantren Gondokusuman Jogja Ditutup","\-

Pemerintah Kota (Pemkot) Jogja menutup operasional Kantor Kemantren
Gondokusuman. Penutupan dilakukan usai delapan pegawai kantor tersebut
diketahui positif terpapar virus Corona atau COVID-19.

Wakil Wali Kota Jogja Heroe Poerwadi menjelaskan, penutupan hanya untuk
operasional saja. Sementara itu, pelayanan publik terutama kependudukan masih
tetap dilayani dengan dialihkan di kantor kelurahan yang ada di Kemantren
Gondokusuman.

""Pelayanan dialokasikan ke kelurahan dan dilanjutkan melalui _e-office_.
Sehingga, tidak ada kendala, layanan tetap dapat diakses,"" tandas Heroe saat
diwawancarai wartawan di Kompleks Balai Kota, Senin (14/2/2022).

Ketua Harian Penanganan COVID-19 di Kota Jogja ini menjelaskan, saat ini
kondisi delapan pegawai Kantor Kemantren Gondokusuman itu dalam kondisi sehat,
bahkan sebagian tidak menunjukkan gejala. Pihaknya meyakini, kasus serupa
mulai terjadi di perkantoran lain.

""Totalnya ada delapan orang yang terpapar, tapi gejalanya ringan semua. Dengan
kenaikan kasus ini, saya yakin itu, di beberapa perkantoran juga sudah ada
yang terpapar,"" terangnya.

Terpisah, Mantri Pamong Praja Gondokusuman, Guritno menjelaskan, _tracing_
sudah dilangsungkan di kantornya secara menyeluruh. Namun, beberapa pegawai
masih menunggu hasil tes yang dijadwalkan baru keluar pada Selasa (15/2)
besok.

""Semoga hasilnya negatif semua, sehingga Kamis (17/2) sudah normal kembali,""
katanya.

Untuk teknis pelayanan, lanjut dia, berkas-berkas syarat layanan kependudukan
yang diserahkan warga masyarakat ke kelurahan, langsung dibawa ke kemantren
hari itu juga, pukul 12.00-13.00 WIB.

""Jadi, sebelum 15.00 WIB bisa diambil lagi oleh kelurahan, sekalian membawa
berkas yang datang sebelum 15.00 WIB,"" terangnya.

""Kalau untuk register pelayanan, perangkat kelurahan yang akan berkomunikasi
dengan petugas pelayanan di kantor kemantren,"" pungkas Guritno.

  
  
  
[Gambas:Video 20detik]  

 ",0,8,rendah
49,Bandara Juanda Pasang Termoscanner Antisipasi Virus Zika,"\- Mengantisipasi penyebaran virus zika, Kantor Kesehatan Pelabuhan (KKP)
Kelas I Surabaya akan melakukan fogging di areal sekitar Terminal Bandara
Internasional Juanda Surabaya, di Sidoarjo.  
  
Sejak minggu lalu, KKP telah memasang dua alat mesin pemindai suhu tubuh
(Thermoscanner) dan memberlakukan health alert card. Bahkan pihak KKP juga
akan melakukan fogging.  
  
""Hari Rabo besok kami akan melakukan fogging di areal sekitar Terminal 2
Bandara Internasional Juanda,"" kata Kepala KKP Kelas I Surabaya di Terminal 2
Bandara Juanda, Nyoman Murtiyasa kepada wartawan, Senin (5/9/2016).  
  

Fogging, jelas dia, perlu dilakukan karena penyebaran virus zika itu melalui
nyamuk Aedes Aegypty. Menurutnya, zika tidak perlu ditakuti tapi harus
diwaspadai. ""Yang paling penting adalah bagaimana kita menghindarkan diri dari
gigitan nyamuk tersebut,"" imbuhnya.  
  
Pihaknya juga berkoordinasi dengan Kemenkes, Dinkes Provinsi Jawa Timur dan
Bandara Juanda terkait antisipasi penyebaran virus tersebut. ""Sampai hari ini
kami belum menemukan penumpang pesawat yang terjangkit virus zika,"" tuturnya.  
  
Murtiyasa menambahkan, dalam waktu dekat akan menambah memasang tiga
Thermoscanner di terminal kedatangan, namun masih menunggu. ""Sebab banyak
penumpang dari Singapura yang berdatangan di bandara sini,"" jelasnya.  
  
Pemerintah Singapura telah mengeluarkan peringatan bahaya dengan penularan
virus Zika 29 Agustus 2016. Sampai saat ini sudah ada 115 orang positif
terinfeksi virus Zika di Singapura.

 ",0,1,rendah
50,"3.412 Anak di Ciamis Stunting, Ini Jurus Dinkes Tekan Kasus Bertambah","\-

Sebanyak 3.412 anak dari 81.095 orang anak di Kabupaten Ciamis mengalami
Stunting. Jumlah tersebut ada di 10 lokus (tempat) yang jadi prioritas.

Kepala Bidang Kesmas Dinas Kesehatan Ciamis Eni Rochaeini menjelaskan
sebenarnya ada 6.811 orang di tahun 2021 yang terdata anak yang mengalami
Stunting. Sedangkan di tahun 2020 sebelumnya terdata 4.773 orang.

""Setelah kita melakukan validasi ulang jumlah kasus Stunting di Kabupaten
Ciamis sebanyak 3.412 anak dari sasaran 81.095 anak,"" ujar Eni saat kegiatan
Orientasi komunikasi pribadi dalam penurunan Stunting di Aula Samudra, Rabu
(27/10/2021).

Eni menegaskan angka kasus Stunting di Kabupaten Ciamis memang di bawah angka
nasional. Namun Dinkes Ciamis berupaya agar tidak terjadi penambahan di tahun
berikutnya. Sehingga target 2024 zero Stunting bisa tercapai.

""Jadi pengurangan ini bukan berarti jumlahnya berkurang tetapi tidak lagi
terjadi penambahan Stunting ke depannya. Minimal penambahannya tidak
signifikan,"" kata Eni.

Berbagai upaya dan program diluncurkan oleh Dinas Kesehatan Ciamis untuk
mengatasi Stunting. Salah satunya menggandeng Fakultas Kesehatan Masyarakat
dan Fakultas Kedokteran Unpad dengan melaksanakan orientasi penanganan
Stunting kepada programer Promkes (Promosi Kesehatan) Puskesmas.

""Mereka sebagai ujung tombak yang paling dekat dengan masyarakat. Jadi
komunikasinya juga harus beda, atau Promkes Ciamis Cintanya beda. Cara
menyentuh ke masyarakat beda, cara penyampaiannya disesuaikan dengan karakter
masyarakatnya, komunikasi sesuai keinginan masyarakat,"" ungkapnya.

Menurut Eni, adanya kerja sama dengan Unpad ini bisa menentukan strategi cara
pendekatan kepada masyarakat dalam penanganan Stunting.

""Kami juga mengerahkan para kader yang membantu Promkes. Harapannya mereka
menjadi duta cinta yang dapat menyentuh masyarakat. Sehingga masyarakat akan
lebih sadar pentingnya melaksanakan pola hidup sehat guna mencegah Stunting,""
katanya.

Dinkes Ciamis pun meluncurkan program Si Keren Halo Cinta. Artinya Sistem
Informasi Kesehatan Remaja. Sehingga para remaja akan lebih paham terhadap
kesehatan, bahaya obat terlarang sehingga informasinya tepat sasaran dan tidak
mendapatkan secara liar.

""Program ini juga sebagai upaya agar Stunting tidak bertambah. Dengan remaja
yang sehat, nanti di masa depan sudah dewasa mereka tentunya akan memiliki
keturunan yang juga sehat,"" pungkasnya.

 ",0,3412,parah
51,"Bicara Tantangan Pendidikan, Kemendikbud Singgung Masalah Cacingan-Stunting","\- Kementerian Pendidikan dan Kebudayaan (Kemendikbud) bicara soal pentingnya
Pendidikan Anak Usia Dini (PAUD) bagi perkembangan anak. Menurut Kemendikbud,
masalah kesehatan seperti cacingan hingga stunting menjadi tantangan
tersendiri bagi perkembangan anak.  
  
Dirjen PAUD dan Pendidikan Masyarakat Kemendikbud Harris Iskandar awalnya
berbicara tentang pentingnya PAUD dan pendidikan keluarga. Menurutnya, banyak
penelitian yang menunjukkan rangsangan pendidikan awal pada anak berdampak
positif bagi anak.  
  
""PAUD dan Pendidikan Keluarga memainkan peran penting dalam mendukung
perkembangan anak. Banyaknya bukti hasil penelitian di bidang psikologi,
_neuroscience_ , dan pendidikan yang menyimpulkan bahwa rangsangan pendidikan
awal pada anak sejak dalam kandungan hingga akhir masa usia dini, akan
berdampak positif pada seluruh aspek perkembangan anak, bukan kecerdasan saja,
tetapi seluruh kecakapan hidup,"" kata Harris dalam acara seminar internasional
di Millennium Hotel Sirih Jakarta, Jalan Fachrudin, Kampung Bali, Tanah Abang,
Jakarta Pusat, Selasa (5/11/2019).  
  

  
Hal itu disampaikan Harris saat menyampaikan sambutan mewakili Mendikbud
Nadiem Makarim. Harris kemudian menceritakan tantangan yang dihadapi dalam
memaksimalkan potensi tumbuh-kembang anak.  
  
""Peran keluarga dan satuan pendidikan penyelenggara PAUD menjadi sangat
penting. Apalagi tantangan yang dihadapi oleh bangsa Indonesia terkait dengan
potensi tumbuh-kembang anak masih cukup berat. Data Kementerian Kesehatan
menunjukkan bahwa Berat Badan Lahir Rendah (BBLR) masih sekitar 7%, imunisasi
tidak lengkap 41%, tidak memperoleh ASI eksklusif lengkap 48%, cacingan 28%,
dan stunting 30,8%,"" ucapnya.  

Selanjutnya __

Halaman

1  2

 ",0,1,rendah
52,Jumlah Penderita Gizi Buruk Tertinggi di Jawa Tengah Ada di Brebes,"\- Pasien penderita gizi buruk di Kabupaten Brebes, Jawa Tengah, menempati
rangking tertinggi di Jawa Tengah. Para penderita ini umumnya berasal dari
keluarga miskin dan tersebar di seluruh kecamatan.  
  
""Brebes menempati peringkat tertinggi se Jawa Tengah. Mungkin karena jumlah
penduduknya cukup banyak. Sehingga penderitanya banyak,"" ujar Kasi Kesehatan
Keluarga dan Gizi Dinas Kesehatan Brebes, Nurul Aeny kepada wartawan di Kantor
Dinas Kesehatan Brebes, Selasa (6/2/2018) siang.  
  
Dinas Kesehatan Kabupaten Brebes mencatat jumlah penderita dari bulan ke bulan
tidak menentu. Namun demikian tetap menempati rangking tertinggi di Jawa
Tengah.  
  

Pada bulan November 2017 lalu, Dinas Kesehatan Brebes melaporkan ada 110
pasien gizi buruk. Jumlahnya kemudian meningkat menjadi 140 orang pada
Desember 2017. Pada awal tahun yakni Januari ada penurunan menjadi 113 orang
penderita gizi buruk.  
  
Penderita gizi buruk tersebar di setiap kecamatan yang ada di Kabupaten
Brebes. Paling banyak ada di Kecamatan Bulakamba sebanyak 16 pasien. Disusul
Kecamatan Brebes 12 orang dan Bumiayu 7 orang.  
  
Nurul menjelaskan pasien yang dilaporkan ke dinas adalah pasien berusia
balita. Sedangkan pasien di atas lima tahun pihak dinas belum mendapatkan
laporan.  
  
Penyebab penyakit ini, sambung Nurul disebabkan karena banyak faktor. Antara
lain adanya penyakit penyerta seperti Ispa, TBC, Hydrocephalus, dan Talasemia.  
  
""Penyakit inilah yang menyebabkan anak mengalami kekurangan gizi. Karena
mereka biasanya tidak mau makan,"" ungkapnya.  
  
Selain karena penyakit penyerta, ada 56 pasien gizi buruk yang diakibatkan
karena kekurangan makan akibat keterbatasan ekonomi.  
  
""Kami secara rutin melakukan penanganan terhadap pasien gizi buruk. Di
beberapa puskesmas sudah ada pusat terapi pemulihan gizi atau TFC. Sampai saat
ini baru ada di Pukesmas Losari, Larangan, Brebes, Paguyangan,"" imbuh dia.  
  
Sedangkan di tingkat desa sudah ada 18 desa di 8 wilayah puskesmas yang sudah
memikiki komunitas pemulihan gizi. Semua biaya operasional ini dibiaya dari
dana desa.  
  
Sejauh ini, menurutnya penanganan gizi buruk masih terkendala minimnya
anggaran. Setiap tahun, pemerintah daerah hanya mengalokasikan anggaran untuk
20 pasien gizi buruk.  
  
""Komunitas pemulihan gizi atau CFC ini dibentuk biar masyarakat bisa secara
dalam menanggulangi gizi buruk. Termasuk bagaimana cara membuat formula
makanan untuk pasien gizi buruk seperti formula 100 yang terdiri dari susu
minyak sayur dan gula,"" ucap Nurul.

 ",0,1,rendah
