tingkat setelah parent,parent,similarity
3,kecukupan,"[('ketersediaan', 0.6190465688705444), ('gizi', 0.6082845330238342), ('aktiva', 0.5969727039337158), ('surplus', 0.5923203229904175), ('asupan', 0.5809178948402405), ('estimasi', 0.577275812625885), ('glikemik', 0.576901376247406), ('efektivitas', 0.5753727555274963), ('rendahnya', 0.5664355754852295), ('likuiditas', 0.564953088760376)]"
3,bergizi,"[('bernutrisi', 0.769235372543335), ('berkalori', 0.6768782138824463), ('lezat', 0.6749852895736694), ('berprotein', 0.6745307445526123), ('bermutu', 0.6404703259468079), ('mengenyangkan', 0.6315097808837891), ('berkadar', 0.6283540725708008), ('berlemak', 0.6147260665893555), ('kalori', 0.6079267263412476), ('gizi', 0.5992274284362793)]"
3,pangan,"[('pertanian', 0.6330079436302185), ('hortikultura', 0.609305739402771), ('swasembada', 0.5947807431221008), ('gizi', 0.5938852429389954), ('produktivitas', 0.5578547716140747), ('nutrisi', 0.5546188950538635), ('pergizi', 0.549895703792572), ('sandang', 0.539496123790741), ('pestisida', 0.5363213419914246), ('makanan', 0.5359933376312256)]"
3,sanitasi,"[('penyediaan', 0.690226137638092), ('higiene', 0.6413466930389404), ('kebersihan', 0.6371206641197205), ('drainase', 0.6370867490768433), ('kesehatan', 0.6054491400718689), ('pengairan', 0.6011625528335571), ('limbah', 0.5960453748703003), ('infrastruktur', 0.5941054821014404), ('ketersediaan', 0.5865646600723267), ('gizi', 0.5839060544967651)]"
3,gizinya,"[('nutrisinya', 0.717805027961731), ('kandungan', 0.6508240103721619), ('garamnya', 0.6291488409042358), ('pengguguran', 0.6089015007019043), ('lemaknya', 0.5999508500099182), ('kalorinya', 0.5875755548477173), ('alkoholnya', 0.5827676653862), ('antioksidannya', 0.5818825960159302), ('polifenol', 0.581205427646637), ('gizi', 0.5745789408683777)]"
3,farmasi,"[('bioteknologi', 0.6808953881263733), ('kosmetika', 0.650173544883728), ('farma', 0.6466482877731323), ('farmakologi', 0.6445994973182678), ('radiologi', 0.6285173296928406), ('mekatronika', 0.6253457069396973), ('fisioterapi', 0.6237729787826538), ('biomedis', 0.6220382452011108), ('keteknikan', 0.6144512295722961), ('nanoteknologi', 0.6129029989242554)]"
3,radiologi,"[('fisioterapi', 0.8476308584213257), ('onkologi', 0.8428735733032227), ('medik', 0.7860641479492188), ('patologi', 0.7807764410972595), ('pediatri', 0.7697591185569763), ('ginekologi', 0.7635480761528015), ('diagnostik', 0.7554922699928284), ('obstetri', 0.7537888884544373), ('kardiologi', 0.7499740123748779), ('pulmonologi', 0.7486814260482788)]"
3,forensik,"[('patologi', 0.7202262282371521), ('radiologi', 0.6816785931587219), ('diagnostik', 0.6721578240394592), ('medis', 0.6492246985435486), ('mikrobiologi', 0.6362074613571167), ('psikiatri', 0.6341872215270996), ('neurosains', 0.6297097206115723), ('patolog', 0.6186878085136414), ('biomedis', 0.6186784505844116), ('kardiologi', 0.6172360181808472)]"
3,psikiatri,"[('ginekologi', 0.7877740859985352), ('neurologi', 0.7793672680854797), ('patologi', 0.7725157141685486), ('pediatri', 0.747024416923523), ('fisioterapi', 0.7355862259864807), ('urologi', 0.7288591861724854), ('onkologi', 0.7238069176673889), ('kardiologi', 0.7228618264198303), ('psikologi', 0.721896231174469), ('obstetri', 0.715214192867279)]"
3,bedah,"[('radiologi', 0.7059352993965149), ('patologi', 0.6847126483917236), ('pembedahan', 0.683842658996582), ('ortopedi', 0.6726323962211609), ('pediatri', 0.6595945358276367), ('neurologi', 0.6508360505104065), ('ginekologi', 0.6477714776992798), ('fisioterapi', 0.6452931761741638), ('anestesi', 0.6372941732406616), ('onkologi', 0.6334317922592163)]"
3,kesehatan,"[('gizi', 0.6640421152114868), ('medis', 0.6269795894622803), ('sanitasi', 0.6054490804672241), ('kebersihan', 0.6027470231056213), ('kesejahteraan', 0.6008718013763428), ('keperawatan', 0.6006942987442017), ('ketenagakerjaan', 0.5951641201972961), ('perawatan', 0.5695779919624329), ('farmasi', 0.5504007935523987), ('pendidikan', 0.5427784323692322)]"
3,medikal,"[('fisioterapi', 0.7318270206451416), ('radiologi', 0.716055691242218), ('onkologi', 0.6955126523971558), ('psikiatri', 0.693946123123169), ('ginekologi', 0.6869162321090698), ('pediatri', 0.6745659112930298), ('patologi', 0.6713756918907166), ('medik', 0.6662058234214783), ('obstetri', 0.6626166701316833), ('ortopedi', 0.6458277702331543)]"
3,klinis,"[('diagnosa', 0.767973780632019), ('patologis', 0.7649372816085815), ('diagnosis', 0.750531792640686), ('epidemiologi', 0.7400169372558594), ('diagnostik', 0.7289952039718628), ('patologi', 0.7250492572784424), ('histologi', 0.7151015400886536), ('fisiologis', 0.7102929949760437), ('autisme', 0.7024182081222534), ('sistemik', 0.7022022008895874)]"
3,ginekologi,"[('obstetri', 0.8498452305793762), ('pediatri', 0.8221076726913452), ('urologi', 0.8124671578407288), ('kardiologi', 0.8035074472427368), ('fisioterapi', 0.7900463938713074), ('obstetrik', 0.788418710231781), ('psikiatri', 0.7877740263938904), ('onkologi', 0.7850338220596313), ('neurologi', 0.7809768319129944), ('radiologi', 0.7635480165481567)]"
3,perawatan,"[('penanganan', 0.6497985124588013), ('pengobatan', 0.6291853189468384), ('terapi', 0.6233388185501099), ('kemoterapi', 0.6166795492172241), ('medis', 0.6162925958633423), ('pemeriksaan', 0.5971775054931641), ('pembedahan', 0.596481204032898), ('radiologi', 0.5885013341903687), ('persalinan', 0.5877333879470825), ('pemeliharaan', 0.5863860845565796)]"
3,dokter,"[('perawat', 0.6989747881889343), ('psikiater', 0.6543493866920471), ('apoteker', 0.6521518230438232), ('paramedis', 0.6469636559486389), ('bedah', 0.6235756278038025), ('terapis', 0.6138221621513367), ('medis', 0.6109302639961243), ('pasiennya', 0.6013277769088745), ('spesialis', 0.5948593616485596), ('ginekolog', 0.5940119028091431)]"
3,penyediaan,"[('penyaluran', 0.7544896006584167), ('pengadaan', 0.7230328321456909), ('pendistribusian', 0.7071870565414429), ('sanitasi', 0.6902262568473816), ('pemanfaatan', 0.6810844540596008), ('perizinan', 0.6733623743057251), ('pembiayaan', 0.6700991988182068), ('pengelolaan', 0.6664990782737732), ('ketersediaan', 0.6524093747138977), ('pemeliharaan', 0.6308127641677856)]"
3,higiene,"[('sanitasi', 0.6413466930389404), ('biomedis', 0.6379251480102539), ('otomasi', 0.6190747022628784), ('bioteknologi', 0.597578227519989), ('radiologi', 0.5814998745918274), ('mekatronika', 0.5765544772148132), ('fisioterapi', 0.5765036344528198), ('hidrolika', 0.5752950310707092), ('medik', 0.5748447775840759), ('radiodiagnostik', 0.5721876621246338)]"
3,kebersihan,"[('sanitasi', 0.6371206045150757), ('kesehatan', 0.6027470827102661), ('pemeliharaan', 0.5837857127189636), ('pertamanan', 0.5813949108123779), ('kelestarian', 0.5768329501152039), ('ketertiban', 0.5717189311981201), ('kenyamanan', 0.5663580894470215), ('perawatan', 0.5575403571128845), ('gizi', 0.5553910732269287), ('kedisiplinan', 0.5522595047950745)]"
3,drainase,"[('irigasi', 0.8038880825042725), ('pengairan', 0.754840075969696), ('selokan', 0.6931199431419373), ('erosi', 0.6444860696792603), ('tanggul', 0.6403783559799194), ('akuifer', 0.6383586525917053), ('sanitasi', 0.6370867490768433), ('pengaliran', 0.6263430118560791), ('genangan', 0.615990936756134), ('pengerukan', 0.6107590198516846)]"
3,kesehatan,"[('gizi', 0.6640421152114868), ('medis', 0.6269795894622803), ('sanitasi', 0.6054490804672241), ('kebersihan', 0.6027470231056213), ('kesejahteraan', 0.6008718013763428), ('keperawatan', 0.6006942987442017), ('ketenagakerjaan', 0.5951641201972961), ('perawatan', 0.5695779919624329), ('farmasi', 0.5504007935523987), ('pendidikan', 0.5427784323692322)]"
3,pengairan,"[('irigasi', 0.8783846497535706), ('drainase', 0.7548401355743408), ('mengairi', 0.6543759107589722), ('bendung', 0.639093816280365), ('persawahan', 0.6300758123397827), ('sawah', 0.6229633688926697), ('selokan', 0.6222509145736694), ('pesawahan', 0.612498939037323), ('pdam', 0.604836106300354), ('pertanian', 0.603833794593811)]"
3,limbah,"[('sampah', 0.7457467913627625), ('biogas', 0.6988869309425354), ('pestisida', 0.6697890758514404), ('kompos', 0.645009458065033), ('polutan', 0.6376802921295166), ('kotoran', 0.631961464881897), ('kontaminan', 0.6287913918495178), ('pengolahan', 0.6147337555885315), ('radioaktif', 0.6046786308288574), ('tailing', 0.59825199842453)]"
3,infrastruktur,"[('infrastuktur', 0.6903454661369324), ('prasarana', 0.6682809591293335), ('transportasi', 0.6415230631828308), ('pembangunan', 0.6192876696586609), ('sarana', 0.6069998145103455), ('penyediaan', 0.5994892716407776), ('fasilitas', 0.5973982214927673), ('aksesibilitas', 0.5962974429130554), ('sanitasi', 0.5941054821014404), ('insfrastruktur', 0.5904520750045776)]"
3,ketersediaan,"[('tersedianya', 0.7145792841911316), ('minimnya', 0.6853528022766113), ('terbatasnya', 0.6672747731208801), ('penyediaan', 0.6524093747138977), ('efektivitas', 0.6474974155426025), ('efisiensi', 0.6458491683006287), ('produktivitas', 0.6417070627212524), ('pemanfaatan', 0.6335597634315491), ('kualitas', 0.6257004737854004), ('produktifitas', 0.6253724098205566)]"
3,gizi,"[('nutrisi', 0.6714110970497131), ('kesehatan', 0.6640421748161316), ('vitamin', 0.6215623021125793), ('asupan', 0.6090824007987976), ('kecukupan', 0.6082844138145447), ('bergizi', 0.5992274284362793), ('pangan', 0.5938852429389954), ('sanitasi', 0.5839060544967651), ('gizinya', 0.5745788812637329), ('farmasi', 0.5745617747306824)]"
3,sanitasi,"[('penyediaan', 0.690226137638092), ('higiene', 0.6413466930389404), ('kebersihan', 0.6371206641197205), ('drainase', 0.6370867490768433), ('kesehatan', 0.6054491400718689), ('pengairan', 0.6011625528335571), ('limbah', 0.5960453748703003), ('infrastruktur', 0.5941054821014404), ('ketersediaan', 0.5865646600723267), ('gizi', 0.5839060544967651)]"
3,kesehatan,"[('gizi', 0.6640421152114868), ('medis', 0.6269795894622803), ('sanitasi', 0.6054490804672241), ('kebersihan', 0.6027470231056213), ('kesejahteraan', 0.6008718013763428), ('keperawatan', 0.6006942987442017), ('ketenagakerjaan', 0.5951641201972961), ('perawatan', 0.5695779919624329), ('farmasi', 0.5504007935523987), ('pendidikan', 0.5427784323692322)]"
3,pemeliharaan,"[('penyediaan', 0.6308127641677856), ('perbaikan', 0.623111367225647), ('pengelolaan', 0.6100138425827026), ('pengendalian', 0.5969969630241394), ('perawatan', 0.58638596534729), ('kebersihan', 0.5837855935096741), ('sanitasi', 0.5767809748649597), ('pemanfaatan', 0.5737191438674927), ('materiil', 0.5692378878593445), ('penanganan', 0.5680241584777832)]"
3,pertamanan,"[('kebersihan', 0.5813949108123779), ('kimpraswil', 0.5713154077529907), ('kehutanan', 0.5659232139587402), ('pertanahan', 0.5630653500556946), ('planologi', 0.5422378182411194), ('hortikultura', 0.5358397364616394), ('permuseuman', 0.5296698808670044), ('kepurbakalaan', 0.5180267691612244), ('kehewanan', 0.5132761597633362), ('kearsipan', 0.5119311809539795)]"
3,kelestarian,"[('keberlangsungan', 0.6678629517555237), ('keanekaragaman', 0.6575358510017395), ('pelestarian', 0.65403151512146), ('kelestariannya', 0.6457176804542542), ('konservasi', 0.6433890461921692), ('ekosistem', 0.6421226263046265), ('hayati', 0.6374051570892334), ('keutuhan', 0.6187740564346313), ('sumberdaya', 0.6053339838981628), ('ketenteraman', 0.5997823476791382)]"
3,ketertiban,"[('ketentraman', 0.7908859252929688), ('ketenteraman', 0.780512273311615), ('keamanan', 0.6962717175483704), ('keutuhan', 0.6645082235336304), ('integritas', 0.6442634463310242), ('penegakan', 0.617340087890625), ('kerahasiaan', 0.6008698344230652), ('stabilitas', 0.5881258249282837), ('kesejahteraan', 0.5842267274856567), ('kebersihan', 0.5717188715934753)]"
3,kenyamanan,"[('kemudahan', 0.7540838718414307), ('fleksibilitas', 0.6610019207000732), ('aksesibilitas', 0.6486014127731323), ('ketenangan', 0.6319013237953186), ('kehangatan', 0.6132222414016724), ('nyaman', 0.6125790476799011), ('kemewahan', 0.6015987396240234), ('akomodasi', 0.5993168950080872), ('keasrian', 0.5940110087394714), ('kepuasan', 0.5909146070480347)]"
3,perawatan,"[('penanganan', 0.6497985124588013), ('pengobatan', 0.6291853189468384), ('terapi', 0.6233388185501099), ('kemoterapi', 0.6166795492172241), ('medis', 0.6162925958633423), ('pemeriksaan', 0.5971775054931641), ('pembedahan', 0.596481204032898), ('radiologi', 0.5885013341903687), ('persalinan', 0.5877333879470825), ('pemeliharaan', 0.5863860845565796)]"
3,gizi,"[('nutrisi', 0.6714110970497131), ('kesehatan', 0.6640421748161316), ('vitamin', 0.6215623021125793), ('asupan', 0.6090824007987976), ('kecukupan', 0.6082844138145447), ('bergizi', 0.5992274284362793), ('pangan', 0.5938852429389954), ('sanitasi', 0.5839060544967651), ('gizinya', 0.5745788812637329), ('farmasi', 0.5745617747306824)]"
3,kedisiplinan,"[('profesionalisme', 0.7015498876571655), ('integritas', 0.6829088926315308), ('keuletan', 0.6766158938407898), ('profesionalitas', 0.6643714308738708), ('kejujuran', 0.6474884152412415), ('ketekunan', 0.6423613429069519), ('ketrampilan', 0.6123563647270203), ('berintegritas', 0.6070065498352051), ('ketegasan', 0.5919439792633057), ('pekerti', 0.587451696395874)]"
3,kemakmuran,"[('kedamaian', 0.6974918842315674), ('kesejahteraan', 0.6943721771240234), ('kebahagiaan', 0.6574845910072327), ('kemandirian', 0.5937656760215759), ('kejayaan', 0.5917841792106628), ('ketenteraman', 0.5773457288742065), ('ketentraman', 0.5770000219345093), ('kesuburan', 0.5763266086578369), ('perekonomian', 0.5700678825378418), ('kemajuan', 0.5691371560096741)]"
3,ketenteraman,"[('ketentraman', 0.8327071666717529), ('ketertiban', 0.780512273311615), ('keutuhan', 0.6809495687484741), ('kesejahteraan', 0.651062548160553), ('kedamaian', 0.6508952379226685), ('kemaslahatan', 0.6436157822608948), ('keberlangsungan', 0.6389167904853821), ('keharmonisan', 0.6121273040771484), ('terwujudnya', 0.6094993352890015), ('ketenangan', 0.6079188585281372)]"
3,kemandirian,"[('terwujudnya', 0.7179490327835083), ('kreativitas', 0.6842958331108093), ('keberlanjutan', 0.6626337170600891), ('profesionalisme', 0.6584345102310181), ('penguatan', 0.6574857831001282), ('kreatifitas', 0.6439858675003052), ('kewirausahaan', 0.6408053040504456), ('integritas', 0.6400118470191956), ('kesejahteraan', 0.6359918117523193), ('pemerataan', 0.6353636384010315)]"
3,kemaslahatan,"[('menyejahterakan', 0.6490240097045898), ('ketenteraman', 0.64361572265625), ('kesejahteraan', 0.6328839063644409), ('tegaknya', 0.631595253944397), ('kepentingan', 0.6129922866821289), ('keutuhan', 0.5991097688674927), ('ketentraman', 0.5928127765655518), ('terwujudnya', 0.5910775661468506), ('kebaikan', 0.573861300945282), ('memberdayakan', 0.5710665583610535)]"
3,ketentraman,"[('ketenteraman', 0.8327071666717529), ('ketertiban', 0.7908859252929688), ('kedamaian', 0.7394471168518066), ('keutuhan', 0.685161292552948), ('ketenangan', 0.6437961459159851), ('kesejahteraan', 0.6158024072647095), ('keharmonisan', 0.6013034582138062), ('kemaslahatan', 0.592812716960907), ('martabat', 0.5771183371543884), ('kemakmuran', 0.5769999623298645)]"
3,pemberdayaan,"[('advokasi', 0.6801814436912537), ('pendampingan', 0.6378154158592224), ('memberdayakan', 0.6351836919784546), ('keberdayaan', 0.6286426782608032), ('pkk', 0.6272574067115784), ('pembinaan', 0.6186267733573914), ('kesejahteraan', 0.6151524186134338), ('linmas', 0.5969908237457275), ('ketenagakerjaan', 0.5895591378211975), ('sosialisasi', 0.586681604385376)]"
3,perekonomian,"[('ekonomi', 0.7561678290367126), ('ekonominya', 0.6767619848251343), ('perekonomiannya', 0.6377432346343994), ('kesejahteraan', 0.6043583154678345), ('pertumbuhan', 0.5939990878105164), ('pertanian', 0.5916220545768738), ('perdagangan', 0.5869290828704834), ('infrastruktur', 0.5803229808807373), ('keuangan', 0.5725429654121399), ('industrialisasi', 0.5701508522033691)]"
3,kesehatan,"[('gizi', 0.6640421152114868), ('medis', 0.6269795894622803), ('sanitasi', 0.6054490804672241), ('kebersihan', 0.6027470231056213), ('kesejahteraan', 0.6008718013763428), ('keperawatan', 0.6006942987442017), ('ketenagakerjaan', 0.5951641201972961), ('perawatan', 0.5695779919624329), ('farmasi', 0.5504007935523987), ('pendidikan', 0.5427784323692322)]"
3,keadilan,"[('demokrasi', 0.6046961545944214), ('retributif', 0.5933715105056763), ('kesejahteraan', 0.5917923450469971), ('kedamaian', 0.5875164270401001), ('solidaritas', 0.5868739485740662), ('ketenteraman', 0.5756433606147766), ('kebenaran', 0.5599860548973083), ('ketentraman', 0.5593200922012329), ('kebaikan', 0.5576180219650269), ('ketertiban', 0.5536612868309021)]"
3,ketertiban,"[('ketentraman', 0.7908859252929688), ('ketenteraman', 0.780512273311615), ('keamanan', 0.6962717175483704), ('keutuhan', 0.6645082235336304), ('integritas', 0.6442634463310242), ('penegakan', 0.617340087890625), ('kerahasiaan', 0.6008698344230652), ('stabilitas', 0.5881258249282837), ('kesejahteraan', 0.5842267274856567), ('kebersihan', 0.5717188715934753)]"
3,kebidanan,"[('keperawatan', 0.8711960315704346), ('akbid', 0.8047242164611816), ('akper', 0.7803277969360352), ('stikes', 0.719143807888031), ('husada', 0.6784288287162781), ('rsu', 0.6557059288024902), ('rsia', 0.6314419507980347), ('diii', 0.6185097098350525), ('fisioterapi', 0.6163466572761536), ('farmasi', 0.6108129620552063)]"
3,akper,"[('akbid', 0.8584293723106384), ('stikes', 0.8284903764724731), ('kebidanan', 0.7803276777267456), ('keperawatan', 0.7650654315948486), ('stimik', 0.7340455055236816), ('pgri', 0.7221329808235168), ('husada', 0.7200106382369995), ('stkip', 0.7187948822975159), ('stie', 0.7110009789466858), ('fkip', 0.7029053568840027)]"
3,akbid,"[('akper', 0.8584294319152832), ('stikes', 0.844064474105835), ('kebidanan', 0.8047242164611816), ('husada', 0.7793197631835938), ('keperawatan', 0.7517669200897217), ('stisip', 0.7461757659912109), ('amik', 0.7049735188484192), ('sekretari', 0.7009942531585693), ('rsu', 0.6982989311218262), ('rsia', 0.6957536339759827)]"
3,stikes,"[('akbid', 0.8440644145011902), ('akper', 0.8284903764724731), ('stkip', 0.794359028339386), ('husada', 0.783259391784668), ('stie', 0.7760404944419861), ('stisip', 0.7720990180969238), ('stmik', 0.7638586759567261), ('amik', 0.7635819315910339), ('rsu', 0.7194851040840149), ('kebidanan', 0.719143807888031)]"
3,fisioterapi,"[('radiologi', 0.8476308584213257), ('medik', 0.8259759545326233), ('ginekologi', 0.7900463342666626), ('obstetri', 0.7788741588592529), ('onkologi', 0.7683355808258057), ('pediatri', 0.7502910494804382), ('patologi', 0.7470195889472961), ('okupasi', 0.7447730302810669), ('psikiatri', 0.7355862259864807), ('ortopedi', 0.7347891926765442)]"
3,mipa,"[('pgsd', 0.7352055311203003), ('fmipa', 0.7301923036575317), ('saintek', 0.6984887719154358), ('ips', 0.6889798641204834), ('hmj', 0.6803604364395142), ('fik', 0.6719095706939697), ('osn', 0.6716083884239197), ('unair', 0.665937066078186), ('fkip', 0.6650760173797607), ('diii', 0.66395503282547)]"
3,diii,"[('pgsd', 0.7369930148124695), ('ners', 0.7233812808990479), ('pgmi', 0.7173675894737244), ('ibii', 0.7146046757698059), ('agroteknologi', 0.7064945101737976), ('fik', 0.7031586766242981), ('rpl', 0.7014172673225403), ('faperta', 0.7013605237007141), ('tmo', 0.6886452436447144), ('kenotariatan', 0.6753765940666199)]"
3,farmasi,"[('bioteknologi', 0.6808953881263733), ('kosmetika', 0.650173544883728), ('farma', 0.6466482877731323), ('farmakologi', 0.6445994973182678), ('radiologi', 0.6285173296928406), ('mekatronika', 0.6253457069396973), ('fisioterapi', 0.6237729787826538), ('biomedis', 0.6220382452011108), ('keteknikan', 0.6144512295722961), ('nanoteknologi', 0.6129029989242554)]"
3,rsu,"[('rsud', 0.8767496347427368), ('rsup', 0.765648603439331), ('rs', 0.7241048812866211), ('stikes', 0.7194850444793701), ('rsia', 0.7137735486030579), ('cibabat', 0.7057562470436096), ('akbid', 0.6982989311218262), ('pku', 0.6944926977157593), ('akper', 0.6834989786148071), ('soetomo', 0.6609105467796326)]"
3,kesehatan,"[('gizi', 0.6640421152114868), ('medis', 0.6269795894622803), ('sanitasi', 0.6054490804672241), ('kebersihan', 0.6027470231056213), ('kesejahteraan', 0.6008718013763428), ('keperawatan', 0.6006942987442017), ('ketenagakerjaan', 0.5951641201972961), ('perawatan', 0.5695779919624329), ('farmasi', 0.5504007935523987), ('pendidikan', 0.5427784323692322)]"
3,perburuhan,"[('agraria', 0.7257033586502075), ('ketenagakerjaan', 0.709774374961853), ('kehakiman', 0.6533244252204895), ('kompartimen', 0.6054619550704956), ('pendayagunaan', 0.597711980342865), ('polkam', 0.579020082950592), ('esdm', 0.5754075646400452), ('kriminologi', 0.5718454122543335), ('advokasi', 0.5652036666870117), ('pertanahan', 0.5624125599861145)]"
3,pendayagunaan,"[('aparatur', 0.7909769415855408), ('ristek', 0.6730058193206787), ('meneg', 0.666279137134552), ('bappenas', 0.6572778224945068), ('pupr', 0.6571658253669739), ('esdm', 0.6544564366340637), ('ketenagakerjaan', 0.6525771021842957), ('polkam', 0.6502931714057922), ('agraria', 0.6487390995025635), ('kesra', 0.6445273756980896)]"
3,kominfo,"[('ristek', 0.6597896814346313), ('perpres', 0.6491438746452332), ('ketenagakerjaan', 0.6487637162208557), ('esdm', 0.6418195366859436), ('dirjen', 0.6415989398956299), ('ptip', 0.6350347399711609), ('ppk', 0.6344768404960632), ('menhub', 0.6269126534461975), ('dikti', 0.6263369917869568), ('menkes', 0.6253142356872559)]"
3,pupr,"[('esdm', 0.8274357318878174), ('ptip', 0.7048047184944153), ('ristek', 0.6961344480514526), ('kirmanto', 0.6850465536117554), ('lhk', 0.6834155917167664), ('supeno', 0.6661791801452637), ('pendayagunaan', 0.6571657657623291), ('perhubungan', 0.6499090790748596), ('sandjojo', 0.6480913758277893), ('ketenagakerjaan', 0.6410292983055115)]"
