tingakt,parent,similarity
3,demoralisasi,"[('kemerosotan', 0.6405250430107117), ('stagnasi', 0.6343909502029419), ('melemahnya', 0.6095097064971924), ('disintegrasi', 0.6086523532867432), ('persekusi', 0.599080502986908), ('keretakan', 0.5953362584114075), ('kemunduran', 0.5946285724639893), ('goncangan', 0.5931751132011414), ('kepanikan', 0.5910662412643433), ('kebuntuan', 0.5893704891204834)]"
3,malfungsi,"[('malafungsi', 0.6032360196113586), ('paralisis', 0.6017520427703857), ('keratinisasi', 0.5982879996299744), ('penyurutan', 0.5796240568161011), ('dekompresi', 0.5752634406089783), ('kelowongan', 0.5727877020835876), ('amnesia', 0.5512281656265259), ('bioakumulasi', 0.5462157726287842), ('kebocoran', 0.5452941060066223), ('imunosupresi', 0.5406685471534729)]"
3,ledakan,"[('tabrakan', 0.6787225008010864), ('guncangan', 0.6616252064704895), ('letusan', 0.6614747047424316), ('kebakaran', 0.6575783491134644), ('semburan', 0.644906759262085), ('meledak', 0.6421293020248413), ('kebocoran', 0.6397943496704102), ('peledakan', 0.6224795579910278), ('erupsi', 0.6147971749305725), ('bom', 0.6061505079269409)]"
3,benturan,"[('gesekan', 0.7735524773597717), ('friksi', 0.7123427987098694), ('goncangan', 0.6761403679847717), ('tabrakan', 0.6760497689247131), ('deformasi', 0.6693745851516724), ('pemuaian', 0.6467172503471375), ('keretakan', 0.6425551772117615), ('turbulensi', 0.6396507620811462), ('tarikan', 0.6392524838447571), ('tumbukan', 0.6382947564125061)]"
3,kebocoran,"[('penumpukan', 0.7242450714111328), ('kontaminasi', 0.7072193622589111), ('dekompresi', 0.6655019521713257), ('tabrakan', 0.650811493396759), ('korsleting', 0.6428479552268982), ('kelangkaan', 0.6402028203010559), ('ledakan', 0.6397944092750549), ('malafungsi', 0.6392256021499634), ('pemuaian', 0.6349465847015381), ('pencairan', 0.6318700313568115)]"
3,tumbukan,"[('gesekan', 0.7199206948280334), ('resonansi', 0.7191947102546692), ('deformasi', 0.7156423330307007), ('kondensasi', 0.7008879780769348), ('akresi', 0.6924559473991394), ('tolakan', 0.69098299741745), ('tubrukan', 0.6876526474952698), ('elektrostatik', 0.682667076587677), ('friksi', 0.6716853380203247), ('tarikan', 0.6703040599822998)]"
3,bertabrakan,"[('bertumbukan', 0.7385883927345276), ('bersenggolan', 0.7269391417503357), ('berpapasan', 0.6928364634513855), ('menabrak', 0.6652581095695496), ('bertabrakkan', 0.6625904440879822), ('bentrok', 0.646318256855011), ('tabrakan', 0.6335707306861877), ('berhadapan', 0.6322769522666931), ('berbenturan', 0.6259477138519287), ('bersentuhan', 0.6138963103294373)]"
3,tubrukan,"[('kenampakan', 0.7194979190826416), ('akresi', 0.7082207798957825), ('tumbukan', 0.687652587890625), ('retakan', 0.6845692992210388), ('vulkanik', 0.6797403693199158), ('kawah', 0.6767633557319641), ('vulkanisme', 0.6703166961669922), ('ganymede', 0.6678979992866516), ('callisto', 0.6655048727989197), ('kaldera', 0.6640676856040955)]"
3,gesekan,"[('friksi', 0.8109227418899536), ('benturan', 0.7735525369644165), ('tarikan', 0.7375136017799377), ('turbulensi', 0.7252699136734009), ('getaran', 0.7227330207824707), ('tumbukan', 0.7199206948280334), ('pemuaian', 0.7116721272468567), ('deformasi', 0.6983174681663513), ('distorsi', 0.6789324283599854), ('tensi', 0.6749935150146484)]"
3,pemadaman,"[('korsleting', 0.6409773826599121), ('kebakaran', 0.6104345917701721), ('kebocoran', 0.5948548316955566), ('ledakan', 0.580057680606842), ('kepanikan', 0.5719105005264282), ('malafungsi', 0.5695201754570007), ('pemogokan', 0.5651393532752991), ('penyalaan', 0.5524387359619141), ('penundaan', 0.534286379814148), ('dekompresi', 0.5319997072219849)]"
3,banjir,"[('longsor', 0.7020419836044312), ('kekeringan', 0.6403771042823792), ('tanggul', 0.6280034184455872), ('kemacetan', 0.6163849234580994), ('erosi', 0.6139939427375793), ('luapan', 0.6087362766265869), ('pendangkalan', 0.5970373153686523), ('bandang', 0.5954942107200623), ('bencana', 0.5949968099594116), ('kebakaran', 0.592870831489563)]"
3,terbakar,"[('hancur', 0.7045629024505615), ('meledak', 0.7041706442832947), ('dibakar', 0.6776916980743408), ('roboh', 0.6764991283416748), ('menghanguskan', 0.6712096333503723), ('rusak', 0.6568196415901184), ('membakar', 0.6541965007781982), ('membakarnya', 0.6421394944190979), ('ambruk', 0.6400607824325562), ('menyala', 0.63770592212677)]"
3,longsor,"[('erosi', 0.7324599623680115), ('tertimbun', 0.7117583155632019), ('longsoran', 0.7116907835006714), ('banjir', 0.7020419836044312), ('pengikisan', 0.6588835120201111), ('amblas', 0.6559628248214722), ('subsiden', 0.6430581212043762), ('abrasi', 0.6388352513313293), ('pendangkalan', 0.6218270659446716), ('kekeringan', 0.6179543733596802)]"
3,pengeboman,"[('pemboman', 0.8124328255653381), ('penembakan', 0.7014217972755432), ('penyerangan', 0.7001789212226868), ('penyerbuan', 0.6842441558837891), ('peledakan', 0.6712919473648071), ('serangan', 0.6704809665679932), ('pembantaian', 0.6640843749046326), ('bom', 0.6556929349899292), ('penggerebekan', 0.6262103915214539), ('pengepungan', 0.6251875162124634)]"
3,pembunuhan,"[('penculikan', 0.7981067299842834), ('pembantaian', 0.711746096611023), ('pemerkosaan', 0.7058182954788208), ('penembakan', 0.6888574957847595), ('pengkhianatan', 0.6714954376220703), ('perkosaan', 0.6669597029685974), ('pembunuhannya', 0.6613022089004517), ('perampokan', 0.6576054096221924), ('kekejaman', 0.6573949456214905), ('eksekusi', 0.6428205966949463)]"
3,pemboman,"[('pengeboman', 0.8124328255653381), ('dibom', 0.6739938855171204), ('penembakan', 0.670600414276123), ('penyerbuan', 0.6401354074478149), ('penggerebekan', 0.6321998834609985), ('penyerangan', 0.6293981075286865), ('serangan', 0.6194666028022766), ('penjarahan', 0.6118698716163635), ('pengepungan', 0.6078040599822998), ('pembantaian', 0.6004113554954529)]"
3,penggerebekan,"[('penyergapan', 0.7453612089157104), ('penyerangan', 0.7232682108879089), ('penyerbuan', 0.710733950138092), ('penjarahan', 0.674841582775116), ('penggeledahan', 0.6650806069374084), ('perampokan', 0.6624622941017151), ('penembakan', 0.6579594016075134), ('pengejaran', 0.6498880982398987), ('pembantaian', 0.6482709646224976), ('penghadangan', 0.6383506059646606)]"
3,perampokan,"[('pencurian', 0.745660662651062), ('penipuan', 0.6862764358520508), ('penjarahan', 0.6762911677360535), ('penculikan', 0.6704522967338562), ('penggerebekan', 0.6624623537063599), ('pemerasan', 0.6579110622406006), ('pembunuhan', 0.6576054692268372), ('penembakan', 0.6527762413024902), ('merampok', 0.6468507647514343), ('penyanderaan', 0.6434707641601562)]"
3,peledakan,"[('pengeboman', 0.6712920069694519), ('bom', 0.661072313785553), ('penjinakan', 0.6524273157119751), ('penembakan', 0.6475258469581604), ('ledakan', 0.6224795579910278), ('sabotase', 0.6205758452415466), ('penyanderaan', 0.5968227982521057), ('pembongkaran', 0.5918135643005371), ('pemboman', 0.5912567973136902), ('meledakkan', 0.5887135863304138)]"
3,penculikan,"[('pembunuhan', 0.7981066703796387), ('pemerkosaan', 0.7260031700134277), ('perkosaan', 0.7159232497215271), ('perampokan', 0.6704522967338562), ('pengkhianatan', 0.6653614044189453), ('penyanderaan', 0.6403673887252808), ('pencurian', 0.6385448575019836), ('pemukulan', 0.6384387612342834), ('penipuan', 0.6356688141822815), ('penembakan', 0.6341407895088196)]"
3,ditabrak,"[('tertabrak', 0.875621497631073), ('dilindas', 0.7746384143829346), ('ditumpangi', 0.7674521207809448), ('terlindas', 0.7525526881217957), ('dikendarai', 0.7401508092880249), ('dikemudikan', 0.7058493494987488), ('menabrak', 0.6598454713821411), ('dihajar', 0.6575165390968323), ('ditolong', 0.6508565545082092), ('diperkosa', 0.6419904232025146)]"
3,terlindas,"[('ditabrak', 0.7525526881217957), ('tertabrak', 0.7402085065841675), ('dikendarai', 0.7357369065284729), ('ditumpangi', 0.7195565700531006), ('dilindas', 0.7125294804573059), ('dikemudikan', 0.6713618040084839), ('dikendarainya', 0.6680553555488586), ('terparkir', 0.6117407083511353), ('memarkirkan', 0.6059010028839111), ('ditunggangi', 0.5886290073394775)]"
3,ditumpangi,"[('ditumpanginya', 0.8426436185836792), ('dikendarai', 0.7856671810150146), ('ditabrak', 0.7674520015716553), ('tumpangi', 0.7425459027290344), ('tertabrak', 0.7359090447425842), ('dikemudikan', 0.7283691763877869), ('terlindas', 0.7195566296577454), ('dinaiki', 0.7127891778945923), ('dibajak', 0.6745133996009827), ('menumpangi', 0.6735883951187134)]"
3,dilindas,"[('ditabrak', 0.7746385335922241), ('tertabrak', 0.7145051956176758), ('terlindas', 0.7125295400619507), ('dikemudikan', 0.6779170632362366), ('dikendarai', 0.6770623922348022), ('ditumpangi', 0.6416283249855042), ('dihajar', 0.6296724081039429), ('dicegat', 0.6205017566680908), ('dikendarainya', 0.6067661046981812), ('ditampar', 0.5908446907997131)]"
3,menabraknya,"[('tertabrak', 0.7085341811180115), ('menabrak', 0.6728631258010864), ('pingsan', 0.6367566585540771), ('menembaknya', 0.6284112930297852), ('ditabrak', 0.6210038661956787), ('mengejarnya', 0.607007622718811), ('terjatuh', 0.6067923307418823), ('mobilnya', 0.6057587265968323), ('mencekik', 0.5996871590614319), ('terpeleset', 0.5923738479614258)]"
3,dikendarai,"[('dikemudikan', 0.8771190643310547), ('ditumpangi', 0.785667359828949), ('ditabrak', 0.7401508092880249), ('terlindas', 0.7357369661331177), ('dinaiki', 0.6952714323997498), ('ditunggangi', 0.6926075220108032), ('tertabrak', 0.6892960071563721), ('dilindas', 0.6770623326301575), ('ditenagai', 0.6718674898147583), ('mengemudikan', 0.664282500743866)]"
3,dikendarainya,"[('mengendarai', 0.6951310634613037), ('tertabrak', 0.686711311340332), ('terlindas', 0.6680554151535034), ('motornya', 0.6642037630081177), ('dikendarai', 0.659168541431427), ('ditumpangi', 0.6447595953941345), ('terparkir', 0.635338306427002), ('mengemudikan', 0.6249752640724182), ('mobilan', 0.6072352528572083), ('dilindas', 0.6067660450935364)]"
3,terserempet,"[('tertabrak', 0.6847153306007385), ('terlindas', 0.5880089998245239), ('ditabrak', 0.5869534015655518), ('tertembak', 0.5566521286964417), ('ditumpangi', 0.5488208532333374), ('pingsan', 0.540545642375946), ('panik', 0.5383886694908142), ('meledaknya', 0.5377262234687805), ('diterjang', 0.5338072180747986), ('terbakarnya', 0.532368540763855)]"
3,menabrak,"[('menghantam', 0.7447960376739502), ('terjatuh', 0.711166262626648), ('tergelincir', 0.6922293901443481), ('tertabrak', 0.6837636828422546), ('menyenggol', 0.6800675392150879), ('meledak', 0.6777507066726685), ('menabraknya', 0.6728631258010864), ('membentur', 0.6718728542327881), ('bertabrakan', 0.6652581691741943), ('ditabrak', 0.6598454713821411)]"
3,ditumpanginya,"[('ditumpangi', 0.8426436185836792), ('terparkir', 0.6753955483436584), ('tumpangi', 0.6692763566970825), ('tertabrak', 0.6577701568603516), ('menumpangi', 0.6399385929107666), ('dikemudikannya', 0.6358316540718079), ('diparkir', 0.6326019763946533), ('dikendarai', 0.6113049387931824), ('terhempas', 0.603198230266571), ('dibajak', 0.595371425151825)]"
3,tertembak,"[('ditembak', 0.8557279706001282), ('terluka', 0.7548821568489075), ('ditikam', 0.7371843457221985), ('dicekik', 0.7162137627601624), ('menembaknya', 0.6957614421844482), ('terbunuh', 0.690451979637146), ('dipukuli', 0.6863638758659363), ('tertangkap', 0.68113774061203), ('menembak', 0.6781341433525085), ('disergap', 0.668764054775238)]"
3,terbunuh,"[('tewas', 0.8348347544670105), ('dibunuh', 0.8289382457733154), ('terluka', 0.7348983883857727), ('ditawan', 0.7230960726737976), ('dibantai', 0.7095769047737122), ('tertembak', 0.690451979637146), ('dieksekusi', 0.6827400922775269), ('diracun', 0.6699095368385315), ('diculik', 0.6660000681877136), ('ditangkap', 0.6652995944023132)]"
3,luka,"[('memar', 0.7217225432395935), ('terluka', 0.7083012461662292), ('lukanya', 0.685165286064148), ('pendarahan', 0.6208271384239197), ('cedera', 0.6154768466949463), ('millfy', 0.600766658782959), ('trauma', 0.565291166305542), ('keningnya', 0.5643298029899597), ('lecet', 0.5639037489891052), ('banja', 0.560205340385437)]"
3,lumpuh,"[('kesakitan', 0.7425013184547424), ('pingsan', 0.711214005947113), ('kelelahan', 0.6893928647041321), ('sekarat', 0.6865842938423157), ('terluka', 0.6859987378120422), ('sembuh', 0.678473174571991), ('pendarahan', 0.6777409911155701), ('menderita', 0.6660642027854919), ('panik', 0.6558247208595276), ('penyakitnya', 0.6473184823989868)]"
3,melukai,"[('mencederai', 0.7178927659988403), ('membunuh', 0.6899585127830505), ('terluka', 0.6779289245605469), ('menewaskan', 0.6616590619087219), ('melumpuhkan', 0.6611077785491943), ('menyiksa', 0.6435124278068542), ('menyakiti', 0.6390326619148254), ('menyandera', 0.6322831511497498), ('memukuli', 0.6114829778671265), ('menggigit', 0.6037390828132629)]"
3,pingsan,"[('tertidur', 0.7741758823394775), ('sekarat', 0.753203272819519), ('terpeleset', 0.7520651817321777), ('terjatuh', 0.7387680411338806), ('kesakitan', 0.7338653802871704), ('panik', 0.7260473966598511), ('siuman', 0.7210937142372131), ('terkapar', 0.7178561091423035), ('lumpuh', 0.7112139463424683), ('tersungkur', 0.703095555305481)]"
3,lukanya,"[('penyakitnya', 0.746985137462616), ('memar', 0.73874431848526), ('pendarahan', 0.718730092048645), ('disentri', 0.6962319612503052), ('jantungnya', 0.6886979341506958), ('kesakitan', 0.6879672408103943), ('luka', 0.6851652264595032), ('leukimia', 0.6574572324752808), ('terluka', 0.6534802317619324), ('millfy', 0.6532467007637024)]"
3,ditembak,"[('tertembak', 0.8557279706001282), ('ditikam', 0.7462279796600342), ('dibunuh', 0.6989049315452576), ('dicekik', 0.6862924098968506), ('dipukuli', 0.6779118180274963), ('menembak', 0.6771650910377502), ('disergap', 0.6669868230819702), ('tertangkap', 0.6650835275650024), ('ditembaki', 0.6572057604789734), ('ditangkap', 0.6531577110290527)]"
3,sekarat,"[('pingsan', 0.7532032132148743), ('tertidur', 0.7507007718086243), ('kesakitan', 0.7244423627853394), ('terbaring', 0.7160475850105286), ('lumpuh', 0.6865841746330261), ('terbangun', 0.6742519736289978), ('mabuk', 0.6734874844551086), ('merawatnya', 0.6716085076332092), ('menyerangnya', 0.6494201421737671), ('siuman', 0.6473068594932556)]"
3,menewaskan,"[('tewas', 0.7178174257278442), ('melukai', 0.6616591215133667), ('menyandera', 0.6346695423126221), ('dievakuasi', 0.6091468930244446), ('terbunuh', 0.5790589451789856), ('terluka', 0.575714111328125), ('merenggut', 0.5614632964134216), ('berpenumpang', 0.5613083839416504), ('tewasnya', 0.5490164756774902), ('menembaki', 0.5408678650856018)]"
3,tewasnya,"[('terbunuhnya', 0.7996218800544739), ('tewas', 0.6807256937026978), ('gugurnya', 0.6632901430130005), ('bentrokan', 0.651394248008728), ('kericuhan', 0.6082785725593567), ('tertangkapnya', 0.6039749979972839), ('kepanikan', 0.6003099679946899), ('meninggalnya', 0.5996706485748291), ('pembunuhan', 0.5959676504135132), ('keributan', 0.5952987670898438)]"
3,dibunuh,"[('terbunuh', 0.8289382457733154), ('diculik', 0.7806524038314819), ('dieksekusi', 0.7786436676979065), ('ditangkap', 0.7770415544509888), ('ditawan', 0.7611286640167236), ('diracun', 0.7515296936035156), ('disiksa', 0.7509030103683472), ('dibantai', 0.7352136373519897), ('ditikam', 0.7152516841888428), ('dipukuli', 0.712841272354126)]"
3,diculik,"[('diperkosa', 0.8313071131706238), ('ditolong', 0.7932333946228027), ('dibunuh', 0.7806522846221924), ('disekap', 0.7755351662635803), ('disandera', 0.7616894841194153), ('dikhianati', 0.7535411715507507), ('dipukuli', 0.7436080574989319), ('dijebak', 0.7390105724334717), ('dirampok', 0.7389726042747498), ('disiksa', 0.7302489876747131)]"
3,meninggal,"[('wafat', 0.8117603659629822), ('mangkat', 0.6763702630996704), ('meningal', 0.5883980989456177), ('tewas', 0.5881737470626831), ('meniggal', 0.587773859500885), ('wafatnya', 0.580962061882019), ('meninggalnya', 0.5794451832771301), ('kematiannya', 0.5589398741722107), ('terbunuh', 0.5570865869522095), ('kematian', 0.5422559976577759)]"
3,ditangkap,"[('ditahan', 0.8585926294326782), ('tertangkap', 0.8285521864891052), ('dipenjarakan', 0.7770770788192749), ('dibunuh', 0.7770414352416992), ('dipenjara', 0.7612951993942261), ('dieksekusi', 0.753043532371521), ('disiksa', 0.752440869808197), ('ditawan', 0.7431890368461609), ('diinterogasi', 0.7412303686141968), ('diadili', 0.7284872531890869)]"
3,tertangkap,"[('ditangkap', 0.8285523056983948), ('ditahan', 0.7282615303993225), ('dipukuli', 0.7278261780738831), ('disergap', 0.7251198291778564), ('diserang', 0.7157444953918457), ('ditawan', 0.71567302942276), ('diculik', 0.7131463885307312), ('dibunuh', 0.701382577419281), ('disiksa', 0.6938846707344055), ('dikejar', 0.6831203699111938)]"
3,persitiwa,"[('peristiwa', 0.5695781707763672), ('peritiwa', 0.5269345045089722), ('tragedi', 0.5103355050086975), ('malari', 0.5016489624977112), ('pristiwa', 0.47561848163604736), ('perisitiwa', 0.46594154834747314), ('gannen', 0.4656667709350586), ('geger', 0.4588176906108856), ('qibya', 0.455763578414917), ('diarinya', 0.4513993263244629)]"
